code,name,target_value,latest_price,dl
118074,特宝转债,5000.0,100.0,99.4
127115,炬申转债,5000.0,100.0,99.8
113632,鹤21转债,5000.0,106.47,101.4
110103,申能转债,5000.0,100.0,102.5
110073,国投转债,5000.0,106.92,106.9
110102,江农转债,5000.0,100.0,110.4
113707,科博转债,5000.0,100.0,114.1
113658,密卫转债,5000.0,114.42,114.4
128134,鸿路转债,5000.0,120.41,126.8
118073,赛斯转债,5000.0,100.0,126.8
113605,大参转债,5000.0,118.86,127.8
118053,正帆转债,5000.0,129.48,132.7
128128,齐翔转2,5000.0,110.3,133.7
113056,重银转债,5000.0,128.11,136.3
110075,南航转债,5000.0,108.16,140.6
127027,能化转债,5000.0,113.86,144.7
127067,恒逸转2,5000.0,145.9,146.0
113681,镇洋转债,5000.0,138.2,147.9
110076,华海转债,5000.0,122.19,148.1
123107,温氏转债,5000.0,114.67,149.0
