code6,remain_size,ts_code,bond_short_name
125002,0.0,125002.SZ,万科转债
125009,0.0,125009.SZ,宝安转券
125069,0.0,125069.SZ,侨城转债
125301,0.0,125301.SZ,丝绸转债
126301,0.0,126301.SZ,丝绸转2
125629,0.0,125629.SZ,钢钒转债
125630,0.0,125630.SZ,铜都转债
125729,0.0,125729.SZ,燕京转债
125898,0.0,125898.SZ,鞍钢转债
125930,0.0,125930.SZ,丰原转债
125936,0.0,125936.SZ,华西转债
125959,0.0,125959.SZ,首钢转债
125302,0.0,125302.SZ,茂炼转债
110001,0.0,110001.SH,邯钢转债
100009,0.0,100009.SH,机场转债
100016,0.0,100016.SH,民生转债
110037,0.0,110037.SH,歌华转债
100087,0.0,100087.SH,水运转债
100096,0.0,100096.SH,云化转债
100117,0.0,100117.SH,西钢转债
100177,0.0,100177.SH,雅戈转债
100196,0.0,100196.SH,复星转债
100220,0.0,100220.SH,阳光转债
100236,0.0,100236.SH,桂冠转债
100001,0.0,100001.SH,南化转债
110317,0.0,110317.SH,营港转债
110418,0.0,110418.SH,江淮转债
100567,0.0,100567.SH,山鹰转债
100726,0.0,100726.SH,华电转债
100795,0.0,100795.SH,国电转债
126002,0.0,126002.SZ,万科转2
125488,0.0,125488.SZ,晨鸣转债
125822,0.0,125822.SZ,海化转债
125932,0.0,125932.SZ,华菱转债
125937,0.0,125937.SZ,金牛转债
110010,0.0,110010.SH,包钢转债
110036,0.0,110036.SH,招行转债
110219,0.0,110219.SH,南山转债
110874,0.0,110874.SH,创业转债
110325,0.0,110325.SH,华发转债
110423,0.0,110423.SH,柳化转债
110398,0.0,110398.SH,凯诺转债
125024,0.0,125024.SZ,招商转债
110488,0.0,110488.SH,天药转债
110232,0.0,110232.SH,金鹰转债
110021,0.0,110021.SH,上电转债
128031,0.0,128031.SZ,巨轮转债
125717,0.0,125717.SZ,韶钢转债
110078,0.0,110078.SH,澄星转债
125960,0.0,125960.SZ,锡业转债
110026,0.0,110026.SH,中海转债
110567,0.0,110567.SH,山鹰转债
110971,0.0,110971.SH,恒源转债
110227,0.0,110227.SH,赤化转债
125709,0.0,125709.SZ,唐钢转债
110598,0.0,110598.SH,大荒转债
125572,0.0,125572.SZ,海马转债
110368,0.0,110368.SH,五洲转债
125528,0.0,125528.SZ,柳工转债
110002,0.0,110002.SH,南山转债
